key,line,col,old,new
table_3[DiffDock+EquiBind phi].top10,132,39,+0.29,0.22
table_3[DiffDock+EquiBind phi].top15,132,46,+0.26,0.22
table_4[AutoDock.precision].k1,160,19,0.561,0.727
table_4[AutoDock.precision].k2,160,26,0.550,0.690
table_4[AutoDock.precision].k3,160,33,0.485,0.640
table_4[AutoDock.precision].k4,160,40,0.497,0.615
table_4[AutoDock.precision].k5,160,47,0.439,0.555
table_4[AutoDock.recall].k1,161,19,0.572,0.741
table_4[AutoDock.recall].k2,161,26,0.548,0.695
table_4[AutoDock.recall].k3,161,33,0.477,0.633
table_4[AutoDock.recall].k4,161,40,0.479,0.596
table_4[AutoDock.recall].k5,161,47,0.414,0.532
table_4[AutoDock.f1].k1,162,19,0.565,0.732
table_4[AutoDock.f1].k2,162,26,0.546,0.689
table_4[AutoDock.f1].k3,162,33,0.479,0.633
table_4[AutoDock.f1].k4,162,40,0.485,0.601
table_4[AutoDock.f1].k5,162,47,0.423,0.539
table_4[DiffDock.precision].k1,165,19,0.536,0.704
table_4[DiffDock.precision].k2,165,26,0.529,0.682
table_4[DiffDock.precision].k3,165,33,0.520,0.658
table_4[DiffDock.precision].k4,165,40,0.497,0.645
table_4[DiffDock.precision].k5,165,47,0.528,0.650
table_4[DiffDock.recall].k1,166,19,0.526,0.692
table_4[DiffDock.recall].k2,166,26,0.511,0.667
table_4[DiffDock.recall].k3,166,33,0.496,0.631
table_4[DiffDock.recall].k4,166,40,0.471,0.617
table_4[DiffDock.recall].k5,166,47,0.504,0.622
table_4[DiffDock.f1].k1,167,19,0.529,0.694
table_4[DiffDock.f1].k2,167,26,0.517,0.670
table_4[DiffDock.f1].k3,167,33,0.503,0.639
table_4[DiffDock.f1].k4,167,40,0.479,0.626
table_4[DiffDock.f1].k5,167,47,0.512,0.631
table_4[EquiBind.precision].k1,170,19,0.493,0.522
table_4[EquiBind.precision].k2,170,26,0.489,0.518
table_4[EquiBind.precision].k3,170,33,0.488,0.518
table_4[EquiBind.precision].k4,170,40,0.476,0.507
table_4[EquiBind.precision].k5,170,47,0.472,0.497
table_4[EquiBind.recall].k1,171,19,0.459,0.486
table_4[EquiBind.recall].k2,171,26,0.451,0.475
table_4[EquiBind.recall].k3,171,33,0.450,0.475
table_4[EquiBind.recall].k4,171,40,0.433,0.459
table_4[EquiBind.recall].k5,171,47,0.423,0.444
table_4[EquiBind.f1].k1,172,19,0.471,0.498
table_4[EquiBind.f1].k2,172,26,0.465,0.491
table_4[EquiBind.f1].k3,172,33,0.463,0.490
table_4[EquiBind.f1].k4,172,40,0.449,0.476
table_4[EquiBind.f1].k5,172,47,0.441,0.463
table_20[DiffDock/near-native].1-10/gnina,249,49,0.7,0.6
table_20[DiffDock/near-native].11-20/smina,249,54,0.1,0.4
table_20[DiffDock/near-native].11-20/gnina,249,59,0.1,0.3
table_20[DiffDock/near-native].21-30/smina,249,64,0.5,0.8
table_20[DiffDock/near-native].21-30/gnina,249,69,0.4,1.0
table_20[DiffDock/near-native and PB-valid].1-10/smina,251,44,12.9,16.5
table_20[DiffDock/near-native and PB-valid].1-10/gnina,251,50,13.0,16.5
table_20[DiffDock/near-native and PB-valid].11-20/smina,251,56,7.7,10.5
table_20[DiffDock/near-native and PB-valid].11-20/gnina,251,61,7.6,10.3
table_20[DiffDock/near-native and PB-valid].21-30/smina,251,66,5.2,6.5
table_20[DiffDock/near-native and PB-valid].21-30/gnina,251,71,5.2,6.8
table_20[EquiBind/near-native].1-10/smina,252,44,4.4,4.5
table_20[EquiBind/near-native].1-10/gnina,252,49,4.6,4.7
table_20[EquiBind/near-native].11-20/smina,252,54,3.5,3.6
table_20[EquiBind/near-native].11-20/gnina,252,59,4.4,4.5
table_20[EquiBind/near-native].21-30/smina,252,64,3.7,3.9
table_20[EquiBind/near-native].21-30/gnina,252,69,4.1,4.4
table_20[EquiBind/near-native and PB-valid].1-10/smina,254,44,4.8,4.9
table_20[EquiBind/near-native and PB-valid].1-10/gnina,254,49,5.0,5.1
table_20[EquiBind/near-native and PB-valid].11-20/gnina,254,59,5.0,5.2
table_20[EquiBind/near-native and PB-valid].21-30/smina,254,64,4.2,4.3
table_20[EquiBind/near-native and PB-valid].21-30/gnina,254,69,4.7,5.0
table_25[AutoDock Vina + gnina].gained,313,31,88,65
table_25[AutoDock Vina + gnina].net,313,41,87,64
table_25[DiffDock + smina].gained,314,31,63,45
table_25[DiffDock + smina].stay_invalid,314,35,1,0
table_25[DiffDock + smina].net,314,41,64,47
table_25[EquiBind + gnina].gained,315,31,26,27
table_25[EquiBind + gnina].net,315,41,25,26
table_26[RMSD/AutoDock Vina + gnina].d1.t0.5,344,19,5.9,8.6
table_26[RMSD/AutoDock Vina + gnina].d1.t0.75,344,24,13.5,18.2
table_26[RMSD/AutoDock Vina + gnina].d1.t1,344,30,22.1,30.0
table_26[RMSD/AutoDock Vina + gnina].d1.t1.25,344,36,27.1,38.0
table_26[RMSD/AutoDock Vina + gnina].d1.t1.5,344,42,30.4,41.6
table_26[RMSD/AutoDock Vina + gnina].d1.t1.75,344,48,32.7,44.9
table_26[RMSD/AutoDock Vina + gnina].d1.t2,344,54,36.6,49.2
table_26[RMSD/AutoDock Vina + gnina].d1.t2.25,344,60,37.0,49.8
table_26[RMSD/AutoDock Vina + gnina].d1.t2.5,344,66,38.9,53.5
table_26[RMSD/AutoDock Vina + gnina].d15.t0.5,345,19,11.2,13.2
table_26[RMSD/AutoDock Vina + gnina].d15.t0.75,345,25,20.1,24.4
table_26[RMSD/AutoDock Vina + gnina].d15.t1,345,31,34.7,40.6
table_26[RMSD/AutoDock Vina + gnina].d15.t1.25,345,37,45.5,50.2
table_26[RMSD/AutoDock Vina + gnina].d15.t1.5,345,43,52.1,57.8
table_26[RMSD/AutoDock Vina + gnina].d15.t1.75,345,49,59.4,64.7
table_26[RMSD/AutoDock Vina + gnina].d15.t2,345,55,65.3,70.3
table_26[RMSD/AutoDock Vina + gnina].d15.t2.25,345,61,67.0,71.9
table_26[RMSD/AutoDock Vina + gnina].d15.t2.5,345,67,69.6,74.3
table_26[RMSD/AutoDock Vina + gnina].d30.t0.5,346,19,11.2,13.2
table_26[RMSD/AutoDock Vina + gnina].d30.t0.75,346,25,20.1,24.4
table_26[RMSD/AutoDock Vina + gnina].d30.t1,346,31,34.7,40.6
table_26[RMSD/AutoDock Vina + gnina].d30.t1.25,346,37,45.9,50.5
table_26[RMSD/AutoDock Vina + gnina].d30.t1.5,346,43,52.8,58.4
table_26[RMSD/AutoDock Vina + gnina].d30.t1.75,346,49,60.1,65.7
table_26[RMSD/AutoDock Vina + gnina].d30.t2,346,55,65.7,70.6
table_26[RMSD/AutoDock Vina + gnina].d30.t2.25,346,61,67.7,72.6
table_26[RMSD/AutoDock Vina + gnina].d30.t2.5,346,67,70.6,75.2
table_26[RMSD/DiffDock + smina].d1.t0.5,348,19,4.0,5.0
table_26[RMSD/DiffDock + smina].d1.t0.75,348,24,10.9,12.5
table_26[RMSD/DiffDock + smina].d1.t1,348,30,15.5,20.1
table_26[RMSD/DiffDock + smina].d1.t1.25,348,36,21.5,28.4
table_26[RMSD/DiffDock + smina].d1.t1.5,348,42,26.1,34.3
table_26[RMSD/DiffDock + smina].d1.t1.75,348,48,31.4,40.3
table_26[RMSD/DiffDock + smina].d1.t2,348,54,34.0,43.6
table_26[RMSD/DiffDock + smina].d1.t2.25,348,60,35.3,46.2
table_26[RMSD/DiffDock + smina].d1.t2.5,348,66,37.6,48.8
table_26[RMSD/DiffDock + smina].d15.t0.25,349,14,1.0,1.3
table_26[RMSD/DiffDock + smina].d15.t0.5,349,19,9.6,11.9
table_26[RMSD/DiffDock + smina].d15.t0.75,349,24,20.5,23.4
table_26[RMSD/DiffDock + smina].d15.t1,349,30,30.0,34.3
table_26[RMSD/DiffDock + smina].d15.t1.25,349,36,40.6,43.9
table_26[RMSD/DiffDock + smina].d15.t1.5,349,42,46.5,50.5
table_26[RMSD/DiffDock + smina].d15.t1.75,349,48,51.8,55.4
table_26[RMSD/DiffDock + smina].d15.t2,349,54,55.1,59.1
table_26[RMSD/DiffDock + smina].d15.t2.25,349,60,58.1,62.7
table_26[RMSD/DiffDock + smina].d15.t2.5,349,66,60.1,64.7
table_26[RMSD/DiffDock + smina].d30.t0.25,350,14,1.0,1.3
table_26[RMSD/DiffDock + smina].d30.t0.5,350,19,10.9,12.9
table_26[RMSD/DiffDock + smina].d30.t0.75,350,25,21.8,24.4
table_26[RMSD/DiffDock + smina].d30.t1,350,31,31.7,35.3
table_26[RMSD/DiffDock + smina].d30.t1.25,350,37,41.6,44.9
table_26[RMSD/DiffDock + smina].d30.t1.5,350,43,48.2,52.8
table_26[RMSD/DiffDock + smina].d30.t1.75,350,49,53.1,57.4
table_26[RMSD/DiffDock + smina].d30.t2,350,55,55.8,60.4
table_26[RMSD/DiffDock + smina].d30.t2.25,350,61,59.4,64.0
table_26[RMSD/DiffDock + smina].d30.t2.5,350,67,61.7,66.7
table_26[RMSD/EquiBind + gnina].d1.t1.25,352,34,9.6,10.2
table_26[RMSD/EquiBind + gnina].d1.t1.5,352,39,12.5,13.2
table_26[RMSD/EquiBind + gnina].d1.t1.75,352,45,15.5,16.2
table_26[RMSD/EquiBind + gnina].d1.t2,352,51,18.2,18.8
table_26[RMSD/EquiBind + gnina].d1.t2.25,352,57,19.5,20.1
table_26[RMSD/EquiBind + gnina].d1.t2.5,352,63,20.5,21.1
table_26[RMSD/EquiBind + gnina].d15.t0.25,353,14,0.3,0.7
table_26[RMSD/EquiBind + gnina].d15.t0.5,353,19,3.0,3.3
table_26[RMSD/EquiBind + gnina].d15.t0.75,353,24,6.3,6.6
table_26[RMSD/EquiBind + gnina].d15.t1,353,29,10.2,10.6
table_26[RMSD/EquiBind + gnina].d15.t1.25,353,35,14.2,14.9
table_26[RMSD/EquiBind + gnina].d15.t1.5,353,41,17.8,18.5
table_26[RMSD/EquiBind + gnina].d15.t1.75,353,47,22.1,22.8
table_26[RMSD/EquiBind + gnina].d15.t2,353,53,26.4,27.4
table_26[RMSD/EquiBind + gnina].d15.t2.25,353,59,27.7,29.0
table_26[RMSD/EquiBind + gnina].d15.t2.5,353,65,29.4,30.7
table_26[RMSD/EquiBind + gnina].d30.t0.25,354,14,0.3,0.7
table_26[RMSD/EquiBind + gnina].d30.t0.5,354,19,3.0,3.3
table_26[RMSD/EquiBind + gnina].d30.t0.75,354,24,6.6,6.9
table_26[RMSD/EquiBind + gnina].d30.t1,354,29,10.6,10.9
table_26[RMSD/EquiBind + gnina].d30.t1.25,354,35,14.2,14.9
table_26[RMSD/EquiBind + gnina].d30.t1.5,354,41,17.8,18.5
table_26[RMSD/EquiBind + gnina].d30.t1.75,354,47,22.4,23.1
table_26[RMSD/EquiBind + gnina].d30.t2,354,53,26.4,27.4
table_26[RMSD/EquiBind + gnina].d30.t2.25,354,59,27.7,29.0
table_26[RMSD/EquiBind + gnina].d30.t2.5,354,65,29.4,30.7
table_26[Kabsch RMSD/AutoDock Vina + gnina].d1.t0.25,357,14,10.2,10.6
table_26[Kabsch RMSD/AutoDock Vina + gnina].d1.t0.5,357,20,25.7,25.1
table_26[Kabsch RMSD/AutoDock Vina + gnina].d1.t1.25,357,38,61.1,60.7
table_26[Kabsch RMSD/AutoDock Vina + gnina].d1.t1.75,357,50,74.6,74.9
table_26[Kabsch RMSD/AutoDock Vina + gnina].d15.t0.25,358,14,17.8,18.5
table_26[Kabsch RMSD/AutoDock Vina + gnina].d15.t0.5,358,20,35.3,35.0
table_26[Kabsch RMSD/AutoDock Vina + gnina].d15.t1,358,32,71.9,71.6
table_26[Kabsch RMSD/AutoDock Vina + gnina].d30.t0.25,359,14,18.8,19.5
table_26[Kabsch RMSD/AutoDock Vina + gnina].d30.t0.5,359,20,37.0,36.6
table_26[Kabsch RMSD/DiffDock + smina].d1.t0.25,361,14,11.9,11.6
table_26[Kabsch RMSD/DiffDock + smina].d1.t0.5,361,20,25.1,24.4
table_26[Kabsch RMSD/DiffDock + smina].d1.t0.75,361,26,38.6,38.9
table_26[Kabsch RMSD/DiffDock + smina].d1.t1.25,361,38,61.7,62.0
table_26[Kabsch RMSD/DiffDock + smina].d1.t1.5,361,44,70.0,70.3
table_26[Kabsch RMSD/DiffDock + smina].d1.t1.75,361,50,76.2,75.9
table_26[Kabsch RMSD/DiffDock + smina].d1.t2,361,56,82.5,82.2
table_26[Kabsch RMSD/DiffDock + smina].d1.t2.25,361,62,85.8,86.1
table_26[Kabsch RMSD/DiffDock + smina].d1.t2.5,361,68,88.1,88.4
table_26[Kabsch RMSD/DiffDock + smina].d15.t0.5,362,20,39.3,39.9
table_26[Kabsch RMSD/DiffDock + smina].d15.t1.25,362,38,80.2,80.9
table_26[Kabsch RMSD/DiffDock + smina].d15.t1.5,362,44,87.8,88.1
table_26[Kabsch RMSD/DiffDock + smina].d15.t1.75,362,50,94.1,94.4
table_26[Kabsch RMSD/DiffDock + smina].d15.t2,362,56,95.7,95.4
table_26[Kabsch RMSD/DiffDock + smina].d30.t0.25,363,14,22.4,22.8
table_26[Kabsch RMSD/DiffDock + smina].d30.t0.5,363,20,42.6,41.9
table_26[Kabsch RMSD/DiffDock + smina].d30.t0.75,363,26,60.4,59.7
table_26[Kabsch RMSD/DiffDock + smina].d30.t1.5,363,44,92.7,93.1
table_26[Kabsch RMSD/EquiBind + gnina].d1.t0.5,365,19,15.5,15.2
table_26[Kabsch RMSD/EquiBind + gnina].d1.t1.75,365,49,53.1,53.5
table_26[Kabsch RMSD/EquiBind + gnina].d1.t2,365,55,61.4,62.0
table_26[Kabsch RMSD/EquiBind + gnina].d1.t2.25,365,61,66.3,67.0
table_26[Kabsch RMSD/EquiBind + gnina].d15.t0.25,366,14,15.2,14.9
table_26[Kabsch RMSD/EquiBind + gnina].d15.t0.5,366,20,27.7,27.4
table_26[Kabsch RMSD/EquiBind + gnina].d15.t0.75,366,26,40.3,39.9
table_26[Kabsch RMSD/EquiBind + gnina].d15.t1,366,32,51.2,51.5
table_26[Kabsch RMSD/EquiBind + gnina].d15.t1.25,366,38,62.0,62.4
table_26[Kabsch RMSD/EquiBind + gnina].d15.t1.75,366,50,75.9,76.2
table_26[Kabsch RMSD/EquiBind + gnina].d15.t2,366,56,79.9,80.2
table_26[Kabsch RMSD/EquiBind + gnina].d15.t2.25,366,62,82.5,82.8
table_26[Kabsch RMSD/EquiBind + gnina].d30.t0.25,367,14,17.2,16.8
table_26[Kabsch RMSD/EquiBind + gnina].d30.t0.5,367,20,31.0,30.7
table_26[Kabsch RMSD/EquiBind + gnina].d30.t0.75,367,26,43.9,43.6
table_26[Kabsch RMSD/EquiBind + gnina].d30.t1,367,32,54.1,53.8
table_26[Kabsch RMSD/EquiBind + gnina].d30.t1.25,367,38,64.4,64.7
table_26[Kabsch RMSD/EquiBind + gnina].d30.t1.75,367,50,77.6,77.9
table_26[Kabsch RMSD/EquiBind + gnina].d30.t2,367,56,81.8,82.5
table_26[Kabsch RMSD/EquiBind + gnina].d30.t2.25,367,62,83.5,83.8
table_27[AutoDock/1].n_poses,389,21,190,249
table_27[AutoDock/1].n_valid_complexes,389,26,190,249
table_27[AutoDock/1].coverage_pct,389,31,62.7,82.2
table_27[AutoDock/1].inplace_median,389,37,1.490,1.376
table_27[AutoDock/1].inplace_q1,389,44,0.758,0.682
table_27[AutoDock/1].inplace_q3,389,51,4.220,3.734
table_27[AutoDock/1].form_median,389,58,0.845,0.824
table_27[AutoDock/1].form_q1,389,65,0.426,0.402
table_27[AutoDock/1].form_q3,389,72,1.507,1.513
table_27[AutoDock/1].median_r,389,79,0.365,0.368
table_27[AutoDock/1].pct_placement_limited,389,86,47.9,46.6
table_27[AutoDock/1].pct_mixed,389,92,25.3,25.7
table_27[AutoDock/1].pct_form_limited,389,98,26.8,27.7
table_27[AutoDock/5].n_poses,390,21,882,1147
table_27[AutoDock/5].n_valid_complexes,390,26,256,272
table_27[AutoDock/5].coverage_pct,390,31,84.5,89.8
table_27[AutoDock/5].inplace_median,390,37,3.476,3.291
table_27[AutoDock/5].inplace_q1,390,44,1.791,1.615
table_27[AutoDock/5].inplace_q3,390,51,6.035,5.926
table_27[AutoDock/5].form_median,390,58,1.265,1.215
table_27[AutoDock/5].form_q1,390,65,0.704,0.645
table_27[AutoDock/5].form_q3,390,72,1.984,1.962
table_27[AutoDock/5].median_r,390,79,0.172,0.178
table_27[AutoDock/5].pct_placement_limited,390,86,65.1,63.7
table_27[AutoDock/5].pct_mixed,390,92,19.4,19.6
table_27[AutoDock/5].pct_form_limited,390,98,15.5,16.6
table_27[AutoDock/15].n_poses,391,21,2200,2832
table_27[AutoDock/15].n_valid_complexes,391,27,275,286
table_27[AutoDock/15].coverage_pct,391,32,90.8,94.4
table_27[AutoDock/15].inplace_median,391,38,5.043,4.922
table_27[AutoDock/15].inplace_q1,391,45,2.937,2.847
table_27[AutoDock/15].inplace_q3,391,52,7.414,7.314
table_27[AutoDock/15].form_median,391,59,1.445,1.416
table_27[AutoDock/15].form_q1,391,66,0.811,0.776
table_27[AutoDock/15].form_q3,391,73,2.200,2.201
table_27[AutoDock/15].median_r,391,80,0.094,0.097
table_27[AutoDock/15].pct_placement_limited,391,87,77.8,77.3
table_27[AutoDock/15].pct_form_limited,391,99,8.3,8.8
table_27[DiffDock/1].n_poses,392,21,164,224
table_27[DiffDock/1].n_valid_complexes,392,26,164,224
table_27[DiffDock/1].coverage_pct,392,31,54.1,73.9
table_27[DiffDock/1].inplace_median,392,37,1.467,1.532
table_27[DiffDock/1].inplace_q1,392,44,0.753,0.868
table_27[DiffDock/1].inplace_q3,392,51,3.068,3.843
table_27[DiffDock/1].form_median,392,58,0.885,0.890
table_27[DiffDock/1].form_q1,392,65,0.488,0.499
table_27[DiffDock/1].form_q3,392,72,1.427,1.421
table_27[DiffDock/1].pct_placement_limited,392,86,40.9,41.5
table_27[DiffDock/1].pct_mixed,392,92,28.7,29.0
table_27[DiffDock/1].pct_form_limited,392,98,30.5,29.5
table_27[DiffDock/5].n_poses,393,21,790,1041
table_27[DiffDock/5].n_valid_complexes,393,26,235,256
table_27[DiffDock/5].coverage_pct,393,31,77.6,84.5
table_27[DiffDock/5].inplace_median,393,37,1.646,1.683
table_27[DiffDock/5].inplace_q1,393,44,0.863,0.866
table_27[DiffDock/5].inplace_q3,393,51,4.000,4.286
table_27[DiffDock/5].form_median,393,58,0.882,0.883
table_27[DiffDock/5].form_q1,393,65,0.498,0.503
table_27[DiffDock/5].form_q3,393,72,1.469,1.489
table_27[DiffDock/5].median_r,393,79,0.406,0.416
table_27[DiffDock/5].pct_placement_limited,393,86,44.2,44.5
table_27[DiffDock/5].pct_mixed,393,92,32.5,31.2
table_27[DiffDock/5].pct_form_limited,393,98,23.3,24.3
table_27[DiffDock/15].n_poses,394,21,2139,2801
table_27[DiffDock/15].n_valid_complexes,394,27,259,269
table_27[DiffDock/15].coverage_pct,394,32,85.5,88.8
table_27[DiffDock/15].inplace_median,394,38,1.929,2.062
table_27[DiffDock/15].inplace_q1,394,45,0.921,0.945
table_27[DiffDock/15].inplace_q3,394,52,4.893,4.935
table_27[DiffDock/15].form_median,394,59,0.918,0.936
table_27[DiffDock/15].form_q1,394,66,0.517,0.520
table_27[DiffDock/15].form_q3,394,73,1.569,1.603
table_27[DiffDock/15].median_r,394,80,0.363,0.377
table_27[DiffDock/15].pct_placement_limited,394,87,47.9,47.1
table_27[DiffDock/15].pct_mixed,394,93,30.8,30.5
table_27[DiffDock/15].pct_form_limited,394,99,21.3,22.4
table_27[EquiBind/1].n_poses,395,21,143,155
table_27[EquiBind/1].n_valid_complexes,395,26,143,155
table_27[EquiBind/1].coverage_pct,395,31,47.2,51.2
table_27[EquiBind/1].inplace_median,395,37,2.977,3.239
table_27[EquiBind/1].inplace_q1,395,44,1.347,1.353
table_27[EquiBind/1].inplace_q3,395,51,5.476,5.940
table_27[EquiBind/1].form_median,395,58,1.120,1.148
table_27[EquiBind/1].form_q1,395,65,0.592,0.650
table_27[EquiBind/1].form_q3,395,72,2.008,2.015
table_27[EquiBind/1].median_r,395,79,0.214,0.208
table_27[EquiBind/1].pct_placement_limited,395,86,59.4,60.6
table_27[EquiBind/1].pct_mixed,395,92,23.8,22.6
table_27[EquiBind/5].n_poses,396,21,673,722
table_27[EquiBind/5].n_valid_complexes,396,26,156,167
table_27[EquiBind/5].coverage_pct,396,31,51.5,55.1
table_27[EquiBind/5].inplace_median,396,37,3.640,3.723
table_27[EquiBind/5].inplace_q1,396,44,1.770,1.817
table_27[EquiBind/5].inplace_q3,396,51,6.191,6.395
table_27[EquiBind/5].form_median,396,58,1.260,1.313
table_27[EquiBind/5].form_q1,396,65,0.752,0.775
table_27[EquiBind/5].form_q3,396,72,2.018,2.035
table_27[EquiBind/5].median_r,396,79,0.154,0.146
table_27[EquiBind/5].pct_placement_limited,396,86,64.3,64.8
table_27[EquiBind/5].pct_mixed,396,92,20.8,20.2
table_27[EquiBind/5].pct_form_limited,396,98,14.9,15.0
table_27[EquiBind/15].n_poses,397,21,1830,1932
table_27[EquiBind/15].n_valid_complexes,397,27,156,169
table_27[EquiBind/15].coverage_pct,397,32,51.5,55.8
table_27[EquiBind/15].inplace_median,397,38,4.065,4.195
table_27[EquiBind/15].inplace_q1,397,45,2.334,2.365
table_27[EquiBind/15].inplace_q3,397,52,6.453,6.556
table_27[EquiBind/15].form_median,397,59,1.342,1.354
table_27[EquiBind/15].form_q1,397,66,0.789,0.808
table_27[EquiBind/15].median_r,397,80,0.133,0.132
table_27[EquiBind/15].pct_placement_limited,397,87,70.2,70.5
table_27[EquiBind/15].pct_mixed,397,93,18.5,18.1
table_27[EquiBind/15].pct_form_limited,397,99,11.3,11.4
table_24[near_native/AutoDock (raw)].poses,684,26,307,437
table_24[near_native/AutoDock (raw)].valid_pct,684,31,98.4,98.6
table_24[near_native/AutoDock (raw)].intra_pct,684,42,0.0,0.2
table_24[near_native/AutoDock (raw)].inter_pct,684,47,1.6,1.1
table_24[near_native/AutoDock (raw)].mindist_pct,684,52,1.6,1.1
table_24[near_native/AutoDock + gnina].poses,685,26,319,451
table_24[near_native/AutoDock + gnina].valid_pct,685,31,97.5,98.0
table_24[near_native/AutoDock + gnina].inter_pct,685,47,1.6,1.1
table_24[near_native/AutoDock + gnina].mindist_pct,685,52,1.6,1.1
table_24[near_native/DiffDock (raw)].poses,686,26,1683,2118
table_24[near_native/DiffDock (raw)].valid_pct,686,32,50.3,50.2
table_24[near_native/DiffDock (raw)].intra_pct,686,43,2.2,1.8
