protein,ligand,status,num_poses,best_affinity_kcal,elapsed_time_s,output_dir
Orai1WT-MDSnap-Fr300_cleaned,6GY_ideal,success,10,-8.3,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,6K9_ideal,success,10,-6.7,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,6SA_ideal,success,10,-7.2,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,6ZV_ideal,success,10,-9.0,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,710_ideal,success,10,-8.7,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,711_ideal,success,10,-9.7,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,740_ideal,success,10,-9.1,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,742_ideal,success,10,-4.9,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,74T_ideal,success,10,-7.5,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,7AK_ideal,success,10,-5.8,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,7I4_ideal,success,10,-7.6,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,7IX_ideal,success,10,-7.2,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,7RU_ideal,success,10,-7.9,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,7T1_ideal,success,10,-7.3,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,7TB_ideal,success,10,-7.1,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,7X1_ideal,success,10,-6.9,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,7Y5_ideal,success,10,-6.9,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,80I_ideal,success,10,-7.3,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,88Z_ideal,success,10,-7.3,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,8DZ_ideal,success,10,-5.9,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,8I2_ideal,failed,0,,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,8JC_ideal,success,10,-8.2,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,8PP_ideal,success,10,-6.4,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,8QW_ideal,success,10,-9.5,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,8RC_ideal,success,10,-6.5,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,8VP_ideal,success,10,-8.0,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,8X7_ideal,success,10,-7.0,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,8XJ_ideal,success,10,-10.0,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,919_ideal,success,10,-9.3,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,964_ideal,success,10,-7.1,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,96Q_ideal,success,10,-10.1,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,98I_ideal,success,10,-9.3,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,9AJ_ideal,success,10,-7.8,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,9B0_ideal,success,10,-6.2,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,9HO_ideal,success,10,-5.6,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,9IN_ideal,success,10,-6.9,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,9N6_ideal,success,10,-7.4,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,9SC_ideal,success,10,-8.7,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,9TP_ideal,success,10,-8.4,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,A00_ideal,success,10,-6.8,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,A1AAC_ideal,success,10,-8.4,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,A1AF4_ideal,success,10,-8.2,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,A1APA_ideal,success,10,-6.7,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,A1AZ7_ideal,success,10,-7.0,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,A1BLM_ideal,success,10,-7.2,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,A1BPC_ideal,success,10,-7.9,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,A1C3G_ideal,success,10,-7.5,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,A1CB7_ideal,failed,0,,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,A1CEA_ideal,success,10,-8.8,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,A1D8M_ideal,success,10,-7.1,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,A1D8Y_ideal,success,10,-8.9,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,A1E_ideal,success,10,-8.5,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,A1H3T_ideal,success,10,-8.9,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,A1JMR_ideal,success,10,-8.1,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,A1JS8_ideal,success,10,-8.5,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,A1JSO_ideal,success,10,-8.5,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,A1JSR_ideal,success,10,-7.3,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,A1JTY_ideal,success,10,-6.0,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,A1L66_ideal,failed,0,,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,A1LVF_ideal,failed,0,,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,A1LXP_ideal,success,10,-8.9,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,A1LY1_ideal,success,10,-7.6,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,A2E_ideal,success,10,-9.0,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,A3D_ideal,success,10,-8.2,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,A4I_ideal,failed,0,,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,A4P_ideal,success,10,-7.6,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,A6L_ideal,success,10,-5.6,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,A86_ideal,success,10,-7.9,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,A8B_ideal,success,10,-7.6,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,AA2_ideal,success,10,-10.4,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,AAF_ideal,success,10,-7.5,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,AAO_ideal,success,10,-5.8,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,ABC_ideal,success,10,-7.1,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,ACG_ideal,success,10,-6.2,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,ACQ_ideal,success,10,-7.1,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,ADV_ideal,success,10,-6.6,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,AGA_ideal,success,10,-5.2,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,AGH_ideal,failed,0,,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,AH4_ideal,success,10,-7.7,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,AHZ_ideal,success,10,-8.2,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,AIK_ideal,success,10,-7.2,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,AK1_ideal,success,10,-7.9,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,AK2_ideal,success,10,-7.3,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,AK3_ideal,success,10,-8.3,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,AKA_ideal,success,10,-8.4,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,AOE_ideal,success,10,-6.6,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,AP5_ideal,success,10,-7.2,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,AP8_ideal,failed,0,,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,APX_ideal,success,10,-7.8,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,ARC_ideal,success,10,-5.4,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,ARE_ideal,success,10,-5.7,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,ARR_ideal,success,10,-7.8,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,AUR_ideal,success,10,-6.9,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,B18_ideal,success,10,-9.1,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,B32_ideal,success,10,-6.4,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,B3N_ideal,success,10,-6.5,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,B8L_ideal,success,10,-7.7,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,B96_ideal,success,10,-9.1,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,BA3_ideal,success,10,-7.8,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,BBZ_ideal,success,10,-9.3,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,BFF_ideal,success,10,-7.5,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,BH7_ideal,success,10,-6.5,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,BL5_ideal,success,10,-7.4,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,BLI_ideal,success,10,-7.1,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,BLM_ideal,failed,0,,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,BN2_ideal,success,10,-7.4,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,BN3_ideal,success,10,-8.4,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,BN4_ideal,success,10,-8.1,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,BN5_ideal,success,10,-7.9,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,BO9_ideal,success,10,-6.8,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,BR4_ideal,success,10,-7.4,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,BTX_ideal,success,10,-7.8,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,BUI_ideal,success,10,-5.6,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,BV1_ideal,failed,0,,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,BV2_ideal,failed,0,,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,BV3_ideal,failed,0,,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,BV4_ideal,failed,0,,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,BY6_ideal,failed,0,,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,C11_ideal,success,10,-5.0,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,C1D_ideal,success,10,-8.4,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,C1N_ideal,success,10,-6.1,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,C3S_ideal,success,10,-9.4,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,C41_ideal,success,10,-5.8,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,C87_ideal,success,10,-9.2,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,C8E_ideal,success,10,-4.8,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,C90_ideal,success,10,-7.8,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,CA3_ideal,success,10,-6.3,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,CA5_ideal,success,10,-6.7,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,CAA_ideal,success,10,-7.2,0.28,/workspace/master_dev/docking_ready_meeko/docking
