protein,ligand,pose_sdf,pose_centroid_x,pose_centroid_y,pose_centroid_z,in_fpocket,nearest_fpocket_id,nearest_fpocket_dist_A,in_p2rank,nearest_p2rank_id,nearest_p2rank_dist_A,in_any_pocket
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,unguided_003.sdf,-10.47,27.23,-4.47,False,fpocket_raw_p001,22.03,False,p2rank_raw_p004,17.21,False
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,unguided_004.sdf,-10.47,27.12,-4.59,False,fpocket_raw_p001,22.09,False,p2rank_raw_p004,17.08,False
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,unguided_005.sdf,-10.57,27.17,-4.59,False,fpocket_raw_p001,22.14,False,p2rank_raw_p004,17.14,False
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,unguided_006.sdf,-10.52,27.15,-4.47,False,fpocket_raw_p001,22.01,False,p2rank_raw_p004,17.21,False
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,unguided_007.sdf,-10.49,27.06,-4.6,False,fpocket_raw_p001,22.08,False,p2rank_raw_p004,17.07,False
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,unguided_008.sdf,-11.21,28.98,-4.4,False,fpocket_raw_p001,22.95,False,p2rank_raw_p004,18.11,False
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,unguided_009.sdf,-10.55,27.26,-4.54,False,fpocket_raw_p001,22.13,False,p2rank_raw_p004,17.2,False
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,unguided_010.sdf,-11.18,28.73,-4.71,False,fpocket_raw_p001,23.09,False,p2rank_raw_p004,17.75,False
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,unguided_011.sdf,-11.13,28.77,-4.6,False,fpocket_raw_p001,22.99,False,p2rank_raw_p004,17.84,False
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,unguided_012.sdf,-10.47,27.05,-4.61,False,fpocket_raw_p001,22.08,False,p2rank_raw_p004,17.05,False
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,unguided_013.sdf,-10.59,27.21,-4.65,False,fpocket_raw_p001,22.22,False,p2rank_raw_p004,17.1,False
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,unguided_014.sdf,-10.52,27.05,-4.51,False,fpocket_raw_p001,22.01,False,p2rank_raw_p004,17.16,False
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,unguided_015.sdf,-10.52,27.08,-4.65,False,fpocket_raw_p001,22.14,False,p2rank_raw_p004,17.04,False
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,unguided_016.sdf,-10.41,27.35,-4.19,False,fpocket_raw_p001,21.81,False,p2rank_raw_p004,17.47,False
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,unguided_017.sdf,-11.2,29.16,-4.27,False,fpocket_raw_p001,22.92,False,p2rank_raw_p004,18.28,False
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,unguided_018.sdf,-10.55,27.37,-4.42,False,fpocket_raw_p001,22.06,False,p2rank_raw_p004,17.33,False
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,unguided_019.sdf,-11.2,28.77,-4.74,False,fpocket_raw_p001,23.13,False,p2rank_raw_p004,17.75,False
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,unguided_020.sdf,-10.56,27.09,-4.65,False,fpocket_raw_p001,22.15,False,p2rank_raw_p004,17.06,False
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,unguided_021.sdf,-11.21,28.92,-4.49,False,fpocket_raw_p001,23.0,False,p2rank_raw_p004,18.02,False
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,unguided_022.sdf,-11.22,28.86,-4.36,False,fpocket_raw_p001,22.87,False,p2rank_raw_p004,18.11,False
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,unguided_023.sdf,-10.43,27.07,-4.55,False,fpocket_raw_p001,22.02,False,p2rank_raw_p004,17.09,False
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,unguided_024.sdf,-10.5,27.13,-4.52,False,fpocket_raw_p001,22.04,False,p2rank_raw_p004,17.16,False
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,unguided_025.sdf,-10.58,27.21,-4.68,False,fpocket_raw_p001,22.24,False,p2rank_raw_p004,17.07,False
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,unguided_026.sdf,-10.4,27.26,-4.4,False,fpocket_raw_p001,21.95,False,p2rank_raw_p004,17.26,False
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,unguided_027.sdf,-10.49,27.07,-4.51,False,fpocket_raw_p001,22.01,False,p2rank_raw_p004,17.15,False
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,unguided_028.sdf,-10.57,27.18,-4.6,False,fpocket_raw_p001,22.15,False,p2rank_raw_p004,17.13,False
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,unguided_029.sdf,-11.04,28.84,-4.62,False,fpocket_raw_p001,23.02,False,p2rank_raw_p004,17.8,False
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,unguided_030.sdf,-10.61,26.97,-4.88,False,fpocket_raw_p001,22.33,False,p2rank_raw_p004,16.84,False
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,unguided_031.sdf,-10.57,27.22,-4.54,False,fpocket_raw_p001,22.12,False,p2rank_raw_p004,17.19,False
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,unguided_032.sdf,-11.12,28.89,-4.7,False,fpocket_raw_p001,23.13,False,p2rank_raw_p004,17.79,False
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,unguided_033.sdf,-10.61,27.03,-4.8,False,fpocket_raw_p001,22.29,False,p2rank_raw_p004,16.93,False
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,unguided_034.sdf,-11.08,28.88,-4.56,False,fpocket_raw_p001,22.99,False,p2rank_raw_p004,17.88,False
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,unguided_035.sdf,-11.16,29.04,-4.33,False,fpocket_raw_p001,22.9,False,p2rank_raw_p004,18.17,False
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,unguided_036.sdf,-11.16,28.73,-4.61,False,fpocket_raw_p001,23.0,False,p2rank_raw_p004,17.83,False
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,unguided_037.sdf,-11.12,28.67,-4.87,False,fpocket_raw_p001,23.17,False,p2rank_raw_p004,17.57,False
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,unguided_038.sdf,-10.45,27.05,-4.5,False,fpocket_raw_p001,21.98,False,p2rank_raw_p004,17.14,False
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,unguided_039.sdf,-11.19,28.86,-4.47,False,fpocket_raw_p001,22.95,False,p2rank_raw_p004,18.0,False
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,unguided_040.sdf,-10.5,27.06,-4.65,False,fpocket_raw_p001,22.13,False,p2rank_raw_p004,17.02,False
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,unguided_001.sdf,-10.7,25.8,-12.61,False,fpocket_raw_p003,25.3,False,p2rank_raw_p004,10.43,False
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,unguided_002.sdf,-10.32,25.07,-12.14,False,fpocket_raw_p003,24.85,False,p2rank_raw_p004,10.31,False
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,unguided_003.sdf,-11.0,25.52,-15.54,False,fpocket_cleaned_p003,23.82,False,p2rank_raw_p004,8.89,False
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,unguided_004.sdf,-11.06,25.67,-15.34,False,fpocket_cleaned_p003,24.05,False,p2rank_raw_p004,9.08,False
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,unguided_005.sdf,-11.15,25.42,-15.79,False,fpocket_cleaned_p003,23.7,False,p2rank_cleaned_p004,8.85,False
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,unguided_006.sdf,-10.18,24.86,-11.96,False,fpocket_raw_p003,24.74,False,p2rank_raw_p004,10.31,False
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,unguided_007.sdf,-10.87,26.23,-13.0,False,fpocket_raw_p003,25.5,False,p2rank_raw_p004,10.42,False
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,unguided_008.sdf,-11.85,25.93,-16.8,False,fpocket_cleaned_p003,24.02,False,p2rank_cleaned_p004,9.12,False
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,unguided_009.sdf,-10.99,25.48,-15.67,False,fpocket_cleaned_p003,23.73,False,p2rank_cleaned_p004,8.81,False
