protein,n_copies,autodock_rank,optimized_rank,cnn_affinity,status,rmsd_ref,rmsd_refcopy,rmsd_nearest_copy,nearest_idx,ref_idx,cd_ref,cd_nearest,pose_file
7B2C_TP7,2,26,18,4.8117113113,success,45.98622509781753,45.98622509781753,19.04133751115739,1,0,45.73638205836844,18.23616918606258,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7B2C_TP7/mgl_tools/docking/optimized_gnina/7B2C_TP7_protein_mgl_tools__7B2C_TP7_ligand_start_conf_vina_vina_out_rank26_gnina.sdf
7B2C_TP7,2,27,25,4.6165671349,success,58.248408816489196,58.248408816489196,38.39631822634263,1,0,57.934100509470085,37.66781573398871,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7B2C_TP7/mgl_tools/docking/optimized_gnina/7B2C_TP7_protein_mgl_tools__7B2C_TP7_ligand_start_conf_vina_vina_out_rank27_gnina.sdf
7B2C_TP7,2,28,30,4.3118104935,success,38.4875911414501,38.4875911414501,38.4875911414501,0,0,38.3906611309842,38.3906611309842,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7B2C_TP7/mgl_tools/docking/optimized_gnina/7B2C_TP7_protein_mgl_tools__7B2C_TP7_ligand_start_conf_vina_vina_out_rank28_gnina.sdf
7B2C_TP7,2,29,20,4.7188940048,success,17.972136310397936,17.972136310397936,17.972136310397936,0,0,16.328273183063427,16.328273183063427,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7B2C_TP7/mgl_tools/docking/optimized_gnina/7B2C_TP7_protein_mgl_tools__7B2C_TP7_ligand_start_conf_vina_vina_out_rank29_gnina.sdf
7B2C_TP7,2,30,19,4.7924952507,success,46.455578684419436,46.455578684419436,19.199171878457975,1,0,46.192237110356885,17.57382961031426,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7B2C_TP7/mgl_tools/docking/optimized_gnina/7B2C_TP7_protein_mgl_tools__7B2C_TP7_ligand_start_conf_vina_vina_out_rank30_gnina.sdf
7D6O_MTE,2,1,2,5.8658657074,success,71.6015833963392,71.6015833963392,43.21730602534032,1,0,71.50531799076461,42.9638598474291,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7D6O_MTE/mgl_tools/docking/optimized_gnina/7D6O_MTE_protein_mgl_tools__7D6O_MTE_ligand_start_conf_vina_vina_out_rank1_gnina.sdf
7D6O_MTE,2,2,1,5.9535832405,success,43.194914354580945,43.194914354580945,43.194914354580945,0,0,42.944095946111574,42.944095946111574,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7D6O_MTE/mgl_tools/docking/optimized_gnina/7D6O_MTE_protein_mgl_tools__7D6O_MTE_ligand_start_conf_vina_vina_out_rank2_gnina.sdf
7D6O_MTE,2,3,27,4.916062355,success,26.26158463891856,26.26158463891856,26.26158463891856,0,0,25.76480695533361,25.76480695533361,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7D6O_MTE/mgl_tools/docking/optimized_gnina/7D6O_MTE_protein_mgl_tools__7D6O_MTE_ligand_start_conf_vina_vina_out_rank3_gnina.sdf
7D6O_MTE,2,4,29,4.5986075401,success,49.76907193996505,49.76907193996505,37.14650828519531,1,0,49.52908585752692,36.74768714564898,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7D6O_MTE/mgl_tools/docking/optimized_gnina/7D6O_MTE_protein_mgl_tools__7D6O_MTE_ligand_start_conf_vina_vina_out_rank4_gnina.sdf
7D6O_MTE,2,5,15,5.2690982819,success,46.95857709599405,46.95857709599405,46.95857709599405,0,0,46.792346312713434,46.792346312713434,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7D6O_MTE/mgl_tools/docking/optimized_gnina/7D6O_MTE_protein_mgl_tools__7D6O_MTE_ligand_start_conf_vina_vina_out_rank5_gnina.sdf
