base_protein,ligand_name,meeko,mgl_tools
Orai1WT-MDSnap-Fr400_cleaned,4PN_ideal,-6.537,-6.033
Orai1WT-MDSnap-Fr400_cleaned,4SO_ideal,-6.72,-6.655
Orai1WT-MDSnap-Fr400_cleaned,505_ideal,-6.062,-7.059
Orai1WT-MDSnap-Fr400_cleaned,521_ideal,-8.333,-8.322
Orai1WT-MDSnap-Fr400_cleaned,566_ideal,-8.293,-8.14
Orai1WT-MDSnap-Fr400_cleaned,572_ideal,-6.848,-6.747
Orai1WT-MDSnap-Fr400_cleaned,5AN_ideal,-6.067,-5.665
Orai1WT-MDSnap-Fr400_cleaned,5B3_ideal,-8.98,-9.461
Orai1WT-MDSnap-Fr400_cleaned,641_ideal,-8.446,-8.175
Orai1WT-MDSnap-Fr400_cleaned,6BD_ideal,-8.776,-8.359
Orai1WT-MDSnap-Fr400_cleaned,6LH_ideal,-6.262,-6.178
Orai1WT-MDSnap-Fr400_cleaned,6LR_ideal,-4.336,-4.051
Orai1WT-MDSnap-Fr400_cleaned,6WT_ideal,-8.098,-8.095
Orai1WT-MDSnap-Fr400_cleaned,787_ideal,-7.114,-6.541
Orai1WT-MDSnap-Fr400_cleaned,791_ideal,-6.367,-6.685
Orai1WT-MDSnap-Fr400_cleaned,7BD_ideal,-7.932,-8.161
Orai1WT-MDSnap-Fr400_cleaned,7N8_ideal,-6.8,-7.37
Orai1WT-MDSnap-Fr400_cleaned,7TI_ideal,-7.579,-7.182
Orai1WT-MDSnap-Fr400_cleaned,80G_ideal,-6.64,-6.624
Orai1WT-MDSnap-Fr400_cleaned,911_ideal,-5.86,-5.896
Orai1WT-MDSnap-Fr400_cleaned,92G_ideal,-6.58,-6.403
Orai1WT-MDSnap-Fr400_cleaned,949_ideal,-9.244,-9.221
Orai1WT-MDSnap-Fr400_cleaned,9CA_ideal,-7.651,-7.66
Orai1WT-MDSnap-Fr400_cleaned,9Y6_ideal,-6.974,-6.466
Orai1WT-MDSnap-Fr400_cleaned,A1AIA_ideal,-8.079,-8.09
Orai1WT-MDSnap-Fr400_cleaned,A1AIK_ideal,-8.16,-8.601
Orai1WT-MDSnap-Fr400_cleaned,A1AT0_ideal,-8.082,-7.871
Orai1WT-MDSnap-Fr400_cleaned,A1CR0_ideal,-8.173,-8.184
Orai1WT-MDSnap-Fr400_cleaned,A1EEY_ideal,-7.04,-7.025
Orai1WT-MDSnap-Fr400_cleaned,A1IPI_ideal,-5.714,-5.716
Orai1WT-MDSnap-Fr499_cleaned,007_ideal,-7.604,-7.586
Orai1WT-MDSnap-Fr499_cleaned,010_ideal,-6.468,-6.203
Orai1WT-MDSnap-Fr499_cleaned,08D_ideal,-7.422,-7.477
Orai1WT-MDSnap-Fr499_cleaned,0A9_ideal,-5.972,-6.351
Orai1WT-MDSnap-Fr499_cleaned,13X_ideal,-6.041,-6.035
Orai1WT-MDSnap-Fr499_cleaned,144_ideal,-4.009,-3.994
Orai1WT-MDSnap-Fr499_cleaned,150_ideal,-6.259,-6.282
Orai1WT-MDSnap-Fr499_cleaned,152_ideal,-4.652,-4.813
Orai1WT-MDSnap-Fr499_cleaned,171_ideal,-5.988,-6.107
Orai1WT-MDSnap-Fr499_cleaned,173_ideal,-6.298,-6.411
Orai1WT-MDSnap-Fr499_cleaned,174_ideal,-6.468,-6.787
Orai1WT-MDSnap-Fr499_cleaned,178_ideal,-7.796,-7.722
Orai1WT-MDSnap-Fr499_cleaned,1AL_ideal,-6.323,-6.082
Orai1WT-MDSnap-Fr499_cleaned,1BN_ideal,-6.355,-6.457
Orai1WT-MDSnap-Fr499_cleaned,1CM_ideal,-8.197,-7.186
Orai1WT-MDSnap-Fr499_cleaned,1CY_ideal,-7.474,-8.057
Orai1WT-MDSnap-Fr499_cleaned,1K5_ideal,-7.76,-7.439
Orai1WT-MDSnap-Fr499_cleaned,1OH_ideal,-9.011,-9.038
Orai1WT-MDSnap-Fr499_cleaned,1PC_ideal,-7.748,-7.526
Orai1WT-MDSnap-Fr499_cleaned,1WE_ideal,-6.02,-6.336
Orai1WT-MDSnap-Fr499_cleaned,201_ideal,-11.834,-10.392
Orai1WT-MDSnap-Fr499_cleaned,205_ideal,-8.883,-8.886
Orai1WT-MDSnap-Fr499_cleaned,210_ideal,-5.724,-5.881
Orai1WT-MDSnap-Fr499_cleaned,21B_ideal,-7.159,-7.366
Orai1WT-MDSnap-Fr499_cleaned,221_ideal,-8.232,-8.071
Orai1WT-MDSnap-Fr499_cleaned,22F_ideal,-7.854,-7.588
Orai1WT-MDSnap-Fr499_cleaned,231_ideal,-6.522,-6.511
Orai1WT-MDSnap-Fr499_cleaned,23F_ideal,-6.787,-6.72
Orai1WT-MDSnap-Fr499_cleaned,251_ideal,-9.347,-8.575
Orai1WT-MDSnap-Fr499_cleaned,256_ideal,-6.515,-6.543
Orai1WT-MDSnap-Fr499_cleaned,268_ideal,-5.537,-5.231
Orai1WT-MDSnap-Fr499_cleaned,269_ideal,-6.719,-6.038
