base_protein,ligand_name,rmsd,meeko_affinity,mgl_affinity,n_atoms_meeko,n_atoms_mgl
Orai1WT-MDSnap-Fr400_cleaned,08D_ideal,0.20961617584640416,-7.431,-7.567,17,17
Orai1WT-MDSnap-Fr400_cleaned,0A9_ideal,44.0402704788033,-6.174,-6.303,13,13
Orai1WT-MDSnap-Fr400_cleaned,13X_ideal,3.379067474910793,-5.548,-5.55,9,9
Orai1WT-MDSnap-Fr400_cleaned,144_ideal,27.537837444596118,-4.453,-4.225,8,8
Orai1WT-MDSnap-Fr400_cleaned,150_ideal,0.027221315177632318,-6.451,-6.458,10,10
Orai1WT-MDSnap-Fr400_cleaned,152_ideal,49.179738727170225,-4.672,-4.857,11,11
Orai1WT-MDSnap-Fr400_cleaned,171_ideal,27.83297560586944,-6.322,-5.642,13,13
Orai1WT-MDSnap-Fr400_cleaned,173_ideal,0.8952588757144243,-6.263,-6.486,11,11
Orai1WT-MDSnap-Fr400_cleaned,174_ideal,33.55604426031174,-6.412,-6.623,10,10
Orai1WT-MDSnap-Fr400_cleaned,178_ideal,28.893341427691308,-8.105,-7.765,21,21
Orai1WT-MDSnap-Fr400_cleaned,1AL_ideal,23.727750402570123,-6.125,-6.204,12,12
Orai1WT-MDSnap-Fr400_cleaned,1BN_ideal,31.380220134133328,-6.483,-6.546,12,12
Orai1WT-MDSnap-Fr400_cleaned,1CM_ideal,47.64815861196643,-7.369,-7.569,18,18
Orai1WT-MDSnap-Fr400_cleaned,1CY_ideal,0.07180242499591584,-7.402,-7.389,17,17
Orai1WT-MDSnap-Fr400_cleaned,1K5_ideal,30.838073287824955,-7.897,-8.36,19,19
Orai1WT-MDSnap-Fr400_cleaned,1OH_ideal,28.934836896896446,-7.41,-7.938,16,16
Orai1WT-MDSnap-Fr400_cleaned,1PC_ideal,28.729333846745867,-6.999,-8.211,18,18
Orai1WT-MDSnap-Fr400_cleaned,1WE_ideal,28.92484836433892,-6.106,-5.756,10,10
Orai1WT-MDSnap-Fr400_cleaned,201_ideal,0.9862340197268935,-10.183,-10.176,24,24
Orai1WT-MDSnap-Fr400_cleaned,205_ideal,2.0307502062045937,-7.971,-7.98,20,20
Orai1WT-MDSnap-Fr400_cleaned,210_ideal,0.03236094512264406,-5.672,-5.667,13,13
Orai1WT-MDSnap-Fr400_cleaned,21B_ideal,9.71315383431617,-7.731,-8.146,22,22
Orai1WT-MDSnap-Fr400_cleaned,221_ideal,24.67485290824402,-7.95,-8.364,23,23
Orai1WT-MDSnap-Fr400_cleaned,22F_ideal,6.2470952449918675,-7.408,-7.269,15,15
Orai1WT-MDSnap-Fr400_cleaned,231_ideal,1.452947005227651,-6.676,-6.665,11,11
Orai1WT-MDSnap-Fr400_cleaned,23F_ideal,36.98495550333045,-6.64,-6.853,12,12
Orai1WT-MDSnap-Fr400_cleaned,251_ideal,35.46366738355844,-8.637,-9.335,24,24
Orai1WT-MDSnap-Fr400_cleaned,256_ideal,42.10860444900611,-6.874,-6.35,14,14
Orai1WT-MDSnap-Fr400_cleaned,268_ideal,32.74672639822185,-6.349,-5.524,10,10
Orai1WT-MDSnap-Fr400_cleaned,269_ideal,0.11571202498994099,-5.856,-5.854,11,11
Orai1WT-MDSnap-Fr400_cleaned,26C_ideal,0.12369245542639887,-8.296,-8.399,17,17
Orai1WT-MDSnap-Fr400_cleaned,270_ideal,12.552822280268291,-5.62,-6.004,10,10
Orai1WT-MDSnap-Fr400_cleaned,283_ideal,0.4135614222821078,-7.403,-7.586,20,20
Orai1WT-MDSnap-Fr400_cleaned,299_ideal,0.17018317337504324,-6.333,-6.264,16,16
